

"","PD04637PD"
"","Tipo de cambio - TC Interbancario (S/ por US$) - Compra"
01Ene24,n.d.
02Ene24,n.d.
03Ene24,3.732
04Ene24,3.73383333333333
05Ene24,3.71516666666667
08Ene24,3.70783333333333
09Ene24,3.70416666666667
10Ene24,3.69983333333333
11Ene24,3.69816666666667
12Ene24,3.69266666666667
15Ene24,3.69483333333333
16Ene24,3.71566666666667
17Ene24,3.73866666666667
18Ene24,3.73983333333333
19Ene24,3.73933333333333
22Ene24,3.739
23Ene24,3.75466666666667
24Ene24,3.7585
25Ene24,3.761
26Ene24,3.78233333333333
29Ene24,3.80383333333333
30Ene24,3.80866666666667
31Ene24,3.80366666666667
01Feb24,3.80433333333333
02Feb24,3.831
05Feb24,3.8545
06Feb24,3.85533333333333
07Feb24,3.8635
08Feb24,3.85133333333333
09Feb24,3.864
12Feb24,3.86066666666667
13Feb24,3.88216666666667
14Feb24,3.87233333333333
15Feb24,3.85983333333333
16Feb24,3.82633333333333
19Feb24,3.79483333333333
20Feb24,3.78216666666667
21Feb24,3.79366666666667
22Feb24,3.79766666666667
23Feb24,3.79266666666667
26Feb24,3.79516666666667
27Feb24,3.78683333333333
28Feb24,3.79266666666667
29Feb24,3.77833333333333
01Mar24,3.7685
04Mar24,3.76316666666667
05Mar24,3.7615
06Mar24,3.727
07Mar24,3.717
08Mar24,3.68633333333333
11Mar24,3.68566666666667
12Mar24,3.68916666666667
13Mar24,3.66466666666667
14Mar24,3.67566666666667
15Mar24,3.68716666666667
18Mar24,3.69666666666667
19Mar24,3.70183333333333
20Mar24,3.691
21Mar24,3.69166666666667
22Mar24,3.69116666666667
25Mar24,3.703
26Mar24,3.71983333333333
27Mar24,3.71583333333333
28Mar24,n.d.
29Mar24,n.d.
01Abr24,3.72666666666667
02Abr24,3.70716666666667
03Abr24,3.688
04Abr24,3.675
05Abr24,3.68283333333333
08Abr24,3.67316666666667
09Abr24,3.68966666666667
10Abr24,3.70716666666667
11Abr24,3.70266666666667
12Abr24,3.70033333333333
15Abr24,3.72366666666667
16Abr24,3.75333333333333
17Abr24,3.74266666666667
18Abr24,3.73483333333333
19Abr24,3.69533333333333
22Abr24,3.69166666666667
23Abr24,3.6995
24Abr24,3.72216666666667
25Abr24,3.74583333333333
26Abr24,3.749166667
29Abr24,3.726
30Abr24,3.75133333333333
01May24,n.d.
02May24,3.744
03May24,3.715
06May24,3.7215
07May24,3.724
08May24,3.72
09May24,3.70366666666667
10May24,3.702
13May24,3.718
14May24,3.7225
15May24,3.71566666666667
16May24,3.72533333333333
17May24,3.73816666666667
20May24,3.73233333333333
21May24,3.73016666666667
22May24,3.73883333333333
23May24,3.74066666666667
24May24,3.735
27May24,3.74033333333333
28May24,3.74533333333333
29May24,3.7575
30May24,3.7575
31May24,3.73233333333333
03Jun24,3.72883333333333
04Jun24,3.738
05Jun24,3.74483333333333
06Jun24,3.75
07Jun24,n.d.
10Jun24,3.778
11Jun24,3.78166666666667
12Jun24,3.76983333333333
13Jun24,3.771
14Jun24,3.77166666666667
17Jun24,3.789
18Jun24,3.788
19Jun24,3.8155
20Jun24,3.8055
21Jun24,3.80066666666667
24Jun24,3.79966666666667
25Jun24,3.8115
26Jun24,3.82066666666667
27Jun24,3.8215
28Jun24,3.83333333333333
01Jul24,3.84216666666667
02Jul24,3.82433333333333
03Jul24,3.79733333333333
04Jul24,3.792
05Jul24,3.7925
08Jul24,3.7875
09Jul24,3.78183333333333
10Jul24,3.7785
11Jul24,3.76433333333333
12Jul24,3.7255
15Jul24,3.7235
16Jul24,3.71433333333333
17Jul24,3.7195
18Jul24,3.73366666666667
19Jul24,3.743
22Jul24,3.75216666666667
23Jul24,n.d.
24Jul24,3.77383333333333
25Jul24,3.75116666666667
26Jul24,n.d.
29Jul24,n.d.
30Jul24,3.73066666666667
31Jul24,3.71566666666667
01Ago24,3.73566666666667
02Ago24,3.7405
05Ago24,3.743
06Ago24,n.d.
07Ago24,3.73133333333333
08Ago24,3.72716666666667
09Ago24,3.72833333333333
12Ago24,3.7425
13Ago24,3.74583333333333
14Ago24,3.7365
15Ago24,3.73466666666667
16Ago24,3.74016666666667
19Ago24,3.73333333333333
20Ago24,3.74416666666667
21Ago24,3.74233333333333
22Ago24,3.757
23Ago24,3.74333333333333
26Ago24,3.74883333333333
27Ago24,3.74
28Ago24,3.73733333333333
29Ago24,3.746
30Ago24,n.d.
02Set24,3.763
03Set24,3.78133333333333
04Set24,3.79433333333333
05Set24,3.7925
06Set24,3.79533333333333
09Set24,3.809
10Set24,3.81483333333333
11Set24,3.78533333333333
12Set24,3.7665
13Set24,3.767
16Set24,3.78166666666667
17Set24,3.76983333333333
18Set24,3.75483333333333
19Set24,3.74583333333333
20Set24,3.74983333333333
23Set24,3.76783333333333
24Set24,3.76216666666667
25Set24,3.7595
26Set24,3.72783333333333
27Set24,3.712
30Set24,3.70433333333333
01Oct24,3.716
02Oct24,3.716
03Oct24,3.7265
04Oct24,3.73
07Oct24,3.73983333333333
08Oct24,n.d.
09Oct24,3.7565
10Oct24,3.76616666666667
11Oct24,3.75366666666667
14Oct24,3.75666666666667
15Oct24,3.7685
16Oct24,3.7695
17Oct24,3.76383333333333
18Oct24,3.75033333333333
21Oct24,3.76366666666667
22Oct24,3.75316666666667
23Oct24,3.7525
24Oct24,3.75133333333333
25Oct24,3.7585
28Oct24,3.76783333333333
