

"","PD04650MD"
"","Reservas internacionales (millones US$) - Reservas internacionales netas"
01Ene24,n.d.
02Ene24,n.d.
03Ene24,73476.52287032
04Ene24,73628.73021465
05Ene24,73743.0048382
08Ene24,74120.06367204
09Ene24,74182.24348236
10Ene24,74101.49684819
11Ene24,74234.14722984
12Ene24,74896.26352529
15Ene24,74903.08325584
16Ene24,75045.37021022
17Ene24,74958.89194875
18Ene24,74996.12431875
19Ene24,74912.48599115
22Ene24,75092.22331588
23Ene24,74874.82575776
24Ene24,74961.94136144
25Ene24,74675.28160916
26Ene24,74710.08272638
29Ene24,74634.16026962
30Ene24,74379.54148397
31Ene24,73327.46532753
01Feb24,74426.21553932
02Feb24,74443.93514255
05Feb24,74340.62094378
06Feb24,74591.09791357
07Feb24,74255.70832875
08Feb24,74143.09212588
09Feb24,74351.20169067
12Feb24,74460.17831219
13Feb24,74546.3337842
14Feb24,74480.06560966
15Feb24,74282.56421387
16Feb24,74006.77659387
19Feb24,74013.96054023
20Feb24,73928.75924391
21Feb24,73668.20148106
22Feb24,74384.34255361
23Feb24,74304.55213745
26Feb24,74059.11807248
27Feb24,74267.17556663
28Feb24,74072.01318152
29Feb24,73943.03283999
01Mar24,74624.90396774
04Mar24,74565.45721837
05Mar24,74980.81961952
06Mar24,75113.94865415
07Mar24,75423.01109352
08Mar24,75570.66815674
11Mar24,75585.56736326
12Mar24,75630.41061937
13Mar24,75601.70834023
14Mar24,76222.41285445
15Mar24,76148.04574802
18Mar24,75887.26590183
19Mar24,75844.91097266
20Mar24,76892.59135441
21Mar24,76868.65605876
22Mar24,76708.8559293
25Mar24,76734.13217806
26Mar24,76742.85207123
27Mar24,73827.92839165
28Mar24,n.d.
29Mar24,n.d.
01Abr24,74971.10824877
02Abr24,76812.37183319
03Abr24,76443.42645634
04Abr24,76714.81874995
05Abr24,76912.74163547
08Abr24,76688.57915006
09Abr24,76692.34065289
10Abr24,76590.768412
11Abr24,76826.82359312
12Abr24,76959.79140982
15Abr24,76674.46185841
16Abr24,76483.0563332
17Abr24,76232.28689668
18Abr24,76019.11146238
19Abr24,76389.84264224
22Abr24,76213.51718073
23Abr24,76556.96238332
24Abr24,75915.72551
25Abr24,76250.6258435
26Abr24,75953.86278033
29Abr24,75887.12403791
30Abr24,74511.66988769
01May24,n.d.
02May24,75725.49908054
03May24,76266.50589016
06May24,76395.08595296
07May24,76365.29893991
08May24,76366.15055091
09May24,75265.04666811
10May24,75654.81350399
13May24,75611.68556557
14May24,75579.9062356
15May24,75565.70330846
16May24,75479.18491902
17May24,75525.63784818
20May24,75403.85376832
21May24,75575.90235236
22May24,75410.50327943
23May24,75381.60335097
24May24,75029.45907207
27May24,75048.03872647
28May24,74853.69554459
29May24,74929.06063349
30May24,74941.35326832
31May24,73920.00259049
03Jun24,76987.73439084
04Jun24,78268.70311608
05Jun24,78563.54777076
06Jun24,78292.73925456
07Jun24,n.d.
10Jun24,78146.87605696
11Jun24,78135.67567994
12Jun24,74388.58858326
13Jun24,74615.1058265
14Jun24,74257.02375181
17Jun24,74170.85211667
18Jun24,74102.8767703
19Jun24,74101.34699406
20Jun24,74155.32868867
21Jun24,74202.63518225
24Jun24,74152.83934313
25Jun24,74183.98118862
26Jun24,74132.76514988
27Jun24,74304.27600298
28Jun24,71415.40097371
01Jul24,72189.7766943
02Jul24,73609.44125848
03Jul24,74171.03748874
04Jul24,74178.73221285
05Jul24,74583.17384099
08Jul24,74752.98499182
09Jul24,75134.22750647
10Jul24,75547.01997556
11Jul24,75791.89009281
12Jul24,76234.81518615
15Jul24,76257.73087792
16Jul24,76478.26167894
17Jul24,76747.26247001
18Jul24,76951.9427376
19Jul24,76551.58172657
22Jul24,76197.76367558
23Jul24,n.d.
24Jul24,76124.05323493
25Jul24,76139.28130254
26Jul24,n.d.
29Jul24,n.d.
30Jul24,76188.92159184
31Jul24,74277.82892047
01Ago24,76815.06406139
02Ago24,77366.30965003
05Ago24,77455.97575906
06Ago24,n.d.
07Ago24,77373.48048916
08Ago24,80728.53725454
09Ago24,80780.7731066
12Ago24,81022.00462075
13Ago24,81316.04936377
14Ago24,81243.29527415
15Ago24,80937.355647
16Ago24,81183.34842822
19Ago24,81163.55137644
20Ago24,81349.1490012
21Ago24,81482.16666508
22Ago24,81442.09211779
23Ago24,81369.30282099
26Ago24,81632.10101931
27Ago24,81942.32783587
28Ago24,81978.03485844
29Ago24,80771.26655196
30Ago24,n.d.
02Set24,80717.99703044
03Set24,82000.93615239
04Set24,82715.54503354
05Set24,82780.80242035
06Set24,82733.93684951
09Set24,82651.92007786
10Set24,83050.61705768
11Set24,83564.49218561
12Set24,83770.6165412
13Set24,83003.2721567
16Set24,83196.92383876
17Set24,82816.52696013
18Set24,82855.49626174
19Set24,82898.70752831
20Set24,83321.74127334
23Set24,83377.17448524
24Set24,83591.79552345
25Set24,83533.74642794
26Set24,83656.24737001
27Set24,83439.04269163
30Set24,80364.80297031
01Oct24,82957.24725261
02Oct24,83029.10153564
03Oct24,84005.91536932
04Oct24,84062.98617499
07Oct24,83838.37349032
08Oct24,n.d.
09Oct24,83722.82182568
10Oct24,84113.8724084
11Oct24,83959.38578646
14Oct24,83940.05558836
15Oct24,83780.02979172
16Oct24,83685.24752842
17Oct24,83456.62103531
18Oct24,83377.58746069
21Oct24,83568.79487456
22Oct24,83821.53463782
23Oct24,83719.11790744
24Oct24,83791.46946159
25Oct24,83686.95020563
28Oct24,83596.57141945
