

"","PD31893DD"
"","Tasas de interés - Rendimiento del Bono del gobierno peruano a 10 años (en S/)"
01Ene24,n.d.
02Ene24,n.d.
03Ene24,6.78
04Ene24,6.84
05Ene24,6.85
08Ene24,6.82
09Ene24,6.79
10Ene24,6.72
11Ene24,6.63
12Ene24,6.55
15Ene24,6.56
16Ene24,6.59
17Ene24,6.67
18Ene24,6.69
19Ene24,6.66
22Ene24,6.61
23Ene24,6.63
24Ene24,6.65
25Ene24,6.64
26Ene24,6.68
29Ene24,6.66
30Ene24,6.65
31Ene24,6.6
01Feb24,6.53
02Feb24,6.7
05Feb24,6.93
06Feb24,6.74
07Feb24,6.7
08Feb24,6.73
09Feb24,6.71
12Feb24,6.71
13Feb24,6.77
14Feb24,6.74
15Feb24,6.7
16Feb24,6.7
19Feb24,6.7
20Feb24,6.71
21Feb24,6.74
22Feb24,6.76
23Feb24,6.81
26Feb24,6.89
27Feb24,6.86
28Feb24,6.84
29Feb24,6.86
01Mar24,6.83
04Mar24,6.88
05Mar24,6.9
06Mar24,6.95
07Mar24,6.94
08Mar24,6.97
11Mar24,7.02
12Mar24,7.04
13Mar24,6.99
14Mar24,7.02
15Mar24,6.96
18Mar24,6.99
19Mar24,6.98
20Mar24,7.02
21Mar24,7
22Mar24,6.94
25Mar24,7.01
26Mar24,7.33
27Mar24,7.34
28Mar24,n.d.
29Mar24,n.d.
01Abr24,7.54
02Abr24,7.49
03Abr24,7.2
04Abr24,7.16
05Abr24,7.22
08Abr24,7.25
09Abr24,7.28
10Abr24,7.38
11Abr24,7.45
12Abr24,7.35
15Abr24,7.46
16Abr24,7.6
17Abr24,7.58
18Abr24,7.59
19Abr24,7.5
22Abr24,7.34
23Abr24,7.3
24Abr24,7.34
25Abr24,7.36
26Abr24,7.37
29Abr24,7.355
30Abr24,7.29
01May24,n.d.
02May24,7.22
03May24,7.1
06May24,7.1
07May24,7.05
08May24,7.13
09May24,7.13
10May24,7.12
13May24,7.09
14May24,7.113
15May24,7.06
16May24,7.06
17May24,7.06
20May24,7.066
21May24,7.05
22May24,7.09
23May24,7.12
24May24,7.09
27May24,7.04
28May24,7.11
29May24,7.11
30May24,7.13
31May24,7.06
03Jun24,7
04Jun24,7
05Jun24,7.01
06Jun24,6.99
07Jun24,n.d.
10Jun24,7.06
11Jun24,7.06
12Jun24,7.04
13Jun24,7.04
14Jun24,7.06
17Jun24,7.09
18Jun24,7.17
19Jun24,7.19
20Jun24,7.18
21Jun24,7.17
24Jun24,7.16
25Jun24,7.15
26Jun24,7.16
27Jun24,7.09
28Jun24,7.06
01Jul24,7.1
02Jul24,7.11
03Jul24,7.07
04Jul24,7.06
05Jul24,7.03
08Jul24,7.04
09Jul24,7.05
10Jul24,6.98
11Jul24,6.9
12Jul24,6.86
15Jul24,6.89
16Jul24,6.89
17Jul24,6.88
18Jul24,6.91
19Jul24,6.96
22Jul24,6.95
23Jul24,n.d.
24Jul24,6.98
25Jul24,6.96
26Jul24,n.d.
29Jul24,n.d.
30Jul24,6.93
31Jul24,6.9
01Ago24,6.79
02Ago24,6.69
05Ago24,6.73
06Ago24,n.d.
07Ago24,6.7
08Ago24,6.62
09Ago24,6.55
12Ago24,n.d.
13Ago24,n.d.
14Ago24,n.d.
15Ago24,n.d.
16Ago24,6.55
19Ago24,6.53
20Ago24,6.53
21Ago24,6.55
22Ago24,6.59
23Ago24,6.53
26Ago24,6.54
27Ago24,6.56
28Ago24,6.55
29Ago24,6.54
30Ago24,n.d.
02Set24,6.55
03Set24,6.55
04Set24,6.53
05Set24,6.52
06Set24,6.48
09Set24,6.43
10Set24,6.44
11Set24,6.4
12Set24,6.42
13Set24,6.39
16Set24,6.33
17Set24,6.29
18Set24,6.25
19Set24,6.22
20Set24,6.229
23Set24,6.25
24Set24,6.28
25Set24,6.29
26Set24,6.29
27Set24,6.24
30Set24,6.22
01Oct24,6.22
02Oct24,6.28
03Oct24,6.39
04Oct24,6.43
07Oct24,6.5
08Oct24,n.d.
09Oct24,6.53
10Oct24,6.51
11Oct24,6.43
14Oct24,6.41
15Oct24,6.36
16Oct24,6.37
17Oct24,6.43
18Oct24,6.44
21Oct24,6.59
22Oct24,6.64
23Oct24,6.67
24Oct24,6.61
25Oct24,6.63
